sim_id,n0_Mpc3,log10_n0,L_TeV_s,log10_L_TeV_s,L_erg_s,gamma,p1,p2,zc,seed_catalog,seed_astro,seed_atmo,expected_astro_total,expected_atmo_total,astro_events_total,astro_events_kept,atmo_events_total,atmo_events_kept
0,1.901542122420639e-07,-6.7208940497779155,7.791788237077326e+40,40.891637140903605,1.2483821050521345e+41,1.8985145292702503,20.454944886852843,21.805279484392187,1.5934736554958215,10000000,20000000,30000000,85.28125480954603,20108.68990567351,91,24,20222,1422
1,2.4398523071447377e-09,-8.61263646224053,4.874551382818821e+40,40.687934652664005,7.809892326784705e+40,2.6223570541028356,19.826831057147277,24.61143280276378,1.447863861428293,10000001,20000001,30000001,0.0387395130336289,20108.68990567351,0,0,20213,1409
